category,text
entertainment,berlin cheer anti nazi film german movie anti nazi resistance heroine drawn loud applause berlin film festival sophie scholl final day portrays final day member white rise movement scholl 21 arrest behead brother han 1943 distribute leaflet condemn abhorrent tyranny adolf hitler director marc rothemund say feel responsibility keep legacy scholls go must somehow keep idea alive add film drew transcript gestapo interrogation scholl trial preserve archive communist east germany secret police discovery inspiration behind film rothemund work closely survive relative include one scholl sister ensure historical accuracy film scholl member white rise resistance group first start distribute anti nazi leaflet summer 1942 arrest drop leaflet munich university call day reckon adolf hitler regime film focus six day scholl arrest intense trial saw scholl initially deny charge end defiant appearance one three german film vie top prize festival south african film version bizet tragic opera carmen shot cape town xhosa language also premier berlin festival film entitle u carmen ekhayelitsha carmen khayelitsha township story set perform 40 strong music theatre troupe debut film performance film first south african feature 25 year second nominate golden bear award
business,virgin blue share plummet 20 share australian budget airline virgin blue plunge 20 warn steep fall full year profit virgin blue say profit tax year march would 10 15 low previous year sluggish demand report previously november december 2004 continue say virgin blue chief executive brett godfrey virgin blue 25 own richard branson struggle fend pressure rival jetstar cut full year passenger number forecast approximately 2 5 virgin blue report 22 fall first quarter profit august 2004 due tough competition november first half profit due slack demand rise fuel cost virgin blue launch four year ago roughly one third australia domestic airline market national carrier qantas fought back budget airline jetstar take sky may 2004 sydney list virgin blue share recover slightly close 12 wednesday share major shareholder patrick corporation own 46 virgin blue drop 31 close
business,crude oil price back 50 cold weather across part united state much europe push u crude oil price 50 barrel first time almost three month freeze temperature heavy snowfall increase demand heating fuel u stock low fresh fall value dollar help carry price 50 mark first time since november barrel u crude oil close 2 80 51 15 new york tuesday opec member say tuesday saw reason cut output although last year peak 55 67 barrel reach october price well 2004 average 41 48 brent crude also rise london trading add 1 89 48 62 close much western europe north east america shiver unseasonably low temperature recent day decline u dollar five week low euro also serve inflate price dollar move sharply overnight oil follow say chris furness senior market strategist 4cast dollar continue weaken oil obviously high several opec member say cut production unlikely cite rise price strong demand oil asia agree need cut supply price much fathi bin shatwan libya oil minister told reuters think need cut unless price fall 35 barrel add opec closely watch global stock ensure excessive supply market arrival spring northern hemisphere focus attention stockpile u crude gasoline 9 high time last year heavy stockpile could help force price low demand eas
politics,hague give pm ambition former conservative leader william hague say stand leadership give ambition prime minister mr hague 43 told daily telegraph would find life dominate politics boring unfulfilling mr hague step party 2001 election defeat rule return front bench also told paper hope remain mp richmond north york start family wife ffion mr hague recently publish biography william pitt young also say want continue write book speech write told newspaper know whether ever go back front rush ask would stand leadership mr hague reply definitely determination stay away central role disappoint senior conservative member say party need tim collins shadow education secretary say last week would huge boost party mr hague return front bench mr hague become mp 27 leader opposition 36 say feel fortunate age 40 crammed entire political career cabinet leader party branch thing liberate feel mr hague add may misjudge ambition prime minister maybe driven politics thought say
sport,moya emotional davis cup win carlos moya described spain davis cup victory highlight career beat andy roddick end usa challenge seville moya make miss spain 2000 victory injury beating roddick 6 2 7 6 7 1 7 6 7 5 give host unassailable 3 1 lead woken many night dream day say moya energy focus today live today think live spain davis cup title come two year ago valencia beat australia moya nickname charly admit davis cup dream bit nervous outset people say obsess think well way help reach goal obsess really incredible get win point really something spanish captain jordi arrese say charly played great game opportunity let u lose three time roddick day beat wait year position spain victory also remarkable performance rafael nadal beat roddick opening single age 18 year 185 day mallorcan become young player win davis cup great way finish year say nadal afterwards u coach patrick mcenroe want roddick rest team play tennis clay hone skill surface think help guy even slow hard court learn mix thing little bit play little bit smarter tactically well obviously unrealistic say go start play constantly clay schedule certainly think put work appropriate time play couple event play guy best stuff say mcenroe roddick left frustrate lose single slow clay seville olympic stadium tough felt like whole time one top three clay courters world say american chance convert bottom line well u weekend come take care business beat u simple
business,korean credit card firm rescue south korea large credit card firm avert liquidation follow one trillion 960m 499m bail lg card threaten collapse huge debt firm creditor former parent step rescue consortium creditor lg group family own conglomerate put 480m stabilise firm lg card seven million customer collapse would sent shockwaves country economy firm creditor 99 lg card try agree deal secure future several week take control company january avoid bankruptcy 4 5bn bail threaten delist company move would trigger massive debt redemption force company bankruptcy unless agreement reach future funding lg card need financial aid laah chong gyu executive director korea development bank one firm creditor say agreement see 12 trillion debt convert equity purpose capital injection avoid delist goal met david kim analyst sejong security told reuters south korea consumer credit market slowly recover crisis 2002 credit bubble burst million consumer fell behind debt repayment lg card return profit september need capital avoid thrown market south korea stock exchange delist firm debt exceeds asset two year run
politics,howard back stem cell research michael howard back stem cell research say important people frighten future controversial issue feature recent u presidential election george bush oppose extend tory leader argue moral case embrace science could help victim alzheimer parkinson motor neurone disease believe duty offer hope million people suffer devastate illness say use embryonic stem cell uk already allow stem cell master cell ability develop body tissue type scientist hope grow cell laboratory programme form specific tissue kidney heart even brain tissue mr howard acknowledge genuine concern stem cell research argue frighten change nostalgic past must optimistic future politician must create right framework great potential science harness benefit mankind life expectancy average briton around mid 70 society responsibility enhance quality people life grow old know many people concerned stem cell research fearful meddling see stuff soul respect concern also believe duty offer hope million people suffer devastate illness like parkinson multiple sclerosis motor neurone disease alzheimer saw paper today possibly heart problem mr howard acknowledge easy answer issue necessary courage know morally right add course stem cell still recent discovery research need do must look potential responsible grown way hope million people rest could achieve former superman actor late christopher reeve advocate research paralyse horse rid accident mr howard make remark speech westminster conservative national woman committee ambition value
sport,connors boost british tennis former world number one jimmy connors planning long term relationship lawn tennis association help unearth next tim henman american spent three day lta annual elite performance winter camp la manga earlier week britain right attitude say connors involve lta well short term arrangement confuse kid ask lta chief executive john crowther add relationship jimmy already start develop coach player say u like want use jimmy number week year hope begin good long term relationship camp played host 30 lead senior junior player include greg rusedski arvind parmar anne keothavong la manga amaze site take bunch kid want best say connors speak queen club london impressed coach way kid go workout feel put every practice interest see kid 15 16 17 desire passion brought coach surround instill importance work practice something buy know give give back effort every minute practice speak la manga lta performance director david felgate told bbc sport jimmy fantastic player coach humble consider achieve work coach hopefully grow get individual relationship player get know make clear word go want short term 52 week year job life passion coach respect want involve real input would stake reputation something go successful connors also agree commentate bbc next year wimbledon championship work second week tournament
business,japanese banking battle end japan sumitomo mitsui financial withdrawn takeover offer rival bank ufj holding enable latter merge mitsubishi tokyo sumitomo boss told counterpart ufj decision friday clearing way conclude 3 trillion yen 29bn deal mitsubishi deal would create world big bank asset 189 trillion yen 1 8 trillion sumitomo exit end high profile fight japanese bank history ufj holding japan fourth large bank centre fierce bid battle last year sumitomo japan third large bank table high offer ufj rival value company 35bn however ufj management know prefer offer mitsubishi tokyo financial group mtfg japan second large bank concern also raise sumitomo ability absorb ufj former admit defeat believe market investor accept ufj mtfg merger sumitomo say statement give ongoing integration ufj mtfg operation persist proposal may best interest shareholder ufj mitsubishi takeover ufj japan large ever takeover deal still approve shareholder two firm however expect formality sumitomo may turn attention deepen tie daiwa security another japanese financial firm two set merge venture capital operation speculation could lead full blown merger japanese bank increasingly seek alliance boost profit
tech,game maker fight survival one britain large independent game maker argonaut game put sale london base company behind harry potter game sack 100 employee due severe cash crisis administrator told bbc news online sell argonaut way save run cash argonaut warn low cash 10 day ago share suspend trading london stock exchange argonaut make game 18 year one large independent game developer uk along headquarters north london operates studio cambridge sheffield argonaut behind harry potter game provide healthy flow cash company like software developer argonaut need constant flow deal publisher sign trouble emerge august warn head loss 6m financial year due delay signing new contract game new deal delayed lead argonaut warn mid october run cash suspend trading share london stock exchange part cost cut measure 100 employee fire news 6m loss come knew go redundancy say jason parkinson one game developer sack argonaut lot people suspect argonaut trouble time told bbc news online mr parkinson say staff told job loss necessary save argonaut go start year company employ 268 people late round cut 80 staff argonaut headquarters edgware north london 17 morpheme office kentish town london 22 add monster base cambridge argonaut call administrator david rubin partner friday find way rescue company collapse spent weekend go company finance conclude way save business put sale administrator told bbc news online cost restructuing would high partly overhead company four premise across uk say hopeful could save 110 job sell business say expression interest several quarter look quick sale administrator say would ensure staff make redundant would receive wage redundancy holiday pay due hopefully christmas
tech,security warn fbi virus u federal bureau investigation warn computer virus spread via e mail purport fbi e mail show come fbi gov address tell recipient access illegal website message warn internet use monitor fbi internet fraud complaint center attachment e mail contains virus fbi say message asks recipient click attachment answer question internet use rather questionnaire attachment contains virus infects recipient computer accord agency clear virus infect computer user warn never open attachment unsolicited e mail people know recipient similar solicitation know fbi engage practice send unsolicited e mail public manner fbi say statement bureau investigate phoney e mail agency earlier month shut fbi gov account use communicate public security breach spokeswoman say two incident appear unrelated
tech,halo 2 herald traffic explosion grow popularity online game could spell problem net service firm warns network monitoring company sandvine issue warn follow analysis show traffic xbox game network increase fourfold launch day halo 2 9 november traffic explosion continued december say sandvine service provider need make sure network cope increase demand bandwidth well popular single player title halo 2 connect microsoft subscription base broadband network xbox live gamers want play online create clan team take others see well compare surge number huge demand bandwidth wake call industry must ensure network cope increase traffic say sandvine chief technology officer marc morin bid cope ease congestion provider increasingly make network intelligent find use bandwidth could become common charge people amount bandwidth use explosion xbox live traffic attribute halo 2 see clarion call say isps need enhance broadband experience high end user prioritise reserve bandwidth game add one main factor spoil online game lag noticeable delay gamer click mouse keyboard happens online game world gamers tend migrate toward network low lag analyse traffic become increasingly important service provider hold bandwidth hungry gamers say lindsay schroth analyst research firm yankee group competitive broadband environment operator need differentiate way offer access service like live play game say country korea high level fast net connection home online game hugely popular
sport,bates seal takeover ken bates complete takeover leeds united 73 year old former chelsea chairman seal deal 0227 gmt friday bought 50 stake club say delighted step mantel fantastic club recognise leeds great club fall hard time lot hard work ahead get club back belongs premiership help fan everything bates bought stake guise geneva base company know forward sport fund reveal part plan buy back leeds elland road stadium thorp arch training ground due course go tough jon first task stabilise cash flow sort remain creditor bates add light end long tunnel past year matter firefighting start run club outgo leeds chairman gerald krasner say deal ensures medium long term survival club believe mr bates proposal totally benefit club content mr bates leeds united continue consolidate move forward take leeds united march 2004 club debt 103m since date board succeed reduce debt 25m work tirelessly solve problem leeds united eighty percent problem already overcome come agreement mr bates secure ongoing success krasner reveal consortium ask remain background club undisclosed period help ensure smooth hand stay unpaid capacity peter lorimer continue role director point contact fan peter mccormick serve consultant incoming board outgo director agree leave loan 4 5m company next four year leeds new look board understood lorimer join former chelsea finance director yvonne todd bates lawyer mark taylor krasner refuse give detail finance involve takeover told bbc five live go figure ken want give tell money use dea l money current board last four month never saw cheque week one person stretch figure discus internal arrangement bates step chelsea chairman march last year follow roman abramovich 140m takeover stamford bridge may make proposal invest 10m sheffield wednesday reject club sebastien sainsbury close takeover leeds withdrew 25m offer last week effort fail reveal would take 40m stage takeover club also lose 10m next six month club brink administration deduction 10 point football league bates arrival investment spar prospect
sport,cole face lengthy injury lay aston villa carlton cole could six week knee injury striker season long loan chelsea picked knock england 21 match holland earlier month carlton action four six week bad challenge say villa bos david leary able tell whether need operation maybe next week whether operation get left chelsea cole also struggle ankle problem earlier season unable rest leary shortage striker return fitness darius vassell four month broken ankle emergence luke moore alleviate villa manager problem department
tech,mobile audio enters new dimension mobile phone move closer ubiquitous one medium player audio become ever important good sound small device sound buzzing bee jump left right disappear around back head surround sound demo unremarkable heard multi speaker home cinema system startle emerge small mobile phone british firm sonaptic one number company developed 3d audio technology emerges stereo speaker firm am3d sr offer stereo widen technology mobile phone sonaptic manage director david monteith say firm company offer positional 3d audio mobile quite basic technology make sound seem bit big headphone bit nicer one really try make proper 3d positional audio individual channel move around sonaptic work japanese mobile network ntt docomo set standard 3d audio mobile phone last month handset nec fujitsu mitsubishi release japanese marker chip produce yamaha rohm sonaptic technology technology around pc game console time make efficient go small consumer device like mobile phone say mr monteith technology work apply science psychoacoustics grow medical research do company research director dr alastair sibbald basically try fool ear think sound come area actually brain us certain bit information effectively synthesise mobile phone handset structure ear work 3d encoder sound help brain understand sound emanate sonaptic audio processing algorithm mimic 3d encode give impression sound come left right behind listener fact come single source mr montieth say sound one side get one ear right bend around head get left ear shape ear cause difference sound one ear synthesise difference sonaptic hope technology big impact grow market mobile game music download handhelds often limitation screen small definition want get impact medium run either movie game watch tv want immersive technology help fishing game first title use technology create 3d sound field gamer play drive game shoot em ups use technology development technology also use music give song much expansive immersive feel sonaptic offer technology chip software release new version significantly improves efficiency audio processing important use 10 15 processor otherwise able play game handset explain mr montieth company look u european market work network vodafone focus first japan advanced mobile phone market knew japan would first place handset could use technology handset uk next six month
sport,moya fight back indian title carlos moya become first man successfully defend chennai open title beating four time finalist paradorn srichaphan 3 6 6 4 7 6 7 5 spaniard donate 28 000 prize money relief effort victim asian tsunami final close throughout thai second seed srichaphan 2003 winner closing first set moya take second set bounce back 5 2 decider force win tie break moya confirm afterwards donate prize money tournament tsunami victim hop make difference life contribution follow pledge four player donate prize money tournament go ahead 26 december disaster far claimed least 150 000 life scrichapan say would donate unspecified amount relief work thailand 5 000 people kill atp announce would contribute u 25 000 tournament fee unicef emergency relief fund tamil nadu atp tour sponsor mercedes say would also contribute increase atp donation u 40 000
entertainment,career honour actor dicaprio actor leonardo dicaprio exceptional career honour santa barbara international film festival star present award martin scorsese direct oscar nominate movie aviator lifetime achievement award completely utterly surreal give 30 year old dicaprio say almost 17 year do quite film retrospective movie show really excite really love add want rest life dicaprio begin movie career horror film critter 3 move onto role basketball diary romeo juliet titanic gang new york achievement award create commemorate california festival 20th anniversary coincide dicaprio portrayal millionaire howard hughes aviator veteran actress jane russell star hughes 1943 film outlaw say impressed dicaprio quest authenticity previously discuss role happy dicaprio come care come find hughes really like say aviator take pole position year oscar race 11 nomination include nomination best film best actor dicaprio best director scorsese
tech,mobile gig aim rock 3g forget go crowd bar enjoy gig late darling music press could also live gig mobile via late third generation 3g video phone rock outfit rooster play bill first ever concert broadcast phone tuesday even london venue 45 minute gig due phone cast 3g mobile phone operator 3 3g technology let people take watch send video clip phone well swap data much faster 2g network like gsm people 3g phone uk already download football music clip handset 1 000 fan london base band pay five pound ticket need 3g handset paid come go much like expect customer mobile say 3 spokesperson belinda henderson like go concert hall except virtually company behind trial hope learn people use video phone look long people stay average stream people may stay whole time may dip say m henderson actually expect people dip mobile thing 3 look music way persuade people take late video phone already planning regular gig throughout 2005 intermission course would still able make phone call
politics,terror suspect face house arrest uk citizen suspect involvement terrorism could face house arrest part series new measure outline home secretary come law lord rule detention 12 foreign terror suspect without trial breach human right charles clarke plan control order mean anyone suspect involve terrorism could subject house arrest curfew tag law society dubbed mr clarke new proposal abuse power deal already sought deport foreign detainee mainly held belmarsh prison london current law introduce u terror attack 11 september 2001 mr clarke say effort would continue deport country origin algeria tunisia egypt jordan without face torture death propose change prompt house lord ruling home secretary could order british citizen foreign suspect could deport face house arrest measure restriction movement limit use telephone internet british citizen include change law lord say current power discriminatory could use foreign suspect mr clarke also say intelligence report show british national play significant role terror threat human right lawyer clive stafford smith say plan abuse human right britain mr clarke say prosecution government first preference promise power would use serious case independent scrutiny judge told mp remains public emergency threaten life nation accepted law lord ruling argue detention power help prevent attack deter terrorist current detainee would freed new power place still consider national security threat told mp call rule wire tap intercept evidence allow use court mr clarke refuse back change say intercept evidence small part case men could use could put source life risk terror suspect held indefinitely belmarsh prison london conservative shadow home secretary david davis worried extend special power cover british citizen warn throughout history internment generally backfire resentment creates unless process clearly home secretary could find confine one know terrorist recruit 10 unknown terrorist suggest change law let security clear judge view evidence gather phone tap could allow terror case come court liberal democrat spokesman mark oaten also back use wire tap evidence say standard proof new power would high indeed ask whether minister look measure fit human right law shami chakrabarti human right group liberty join call intercept evidence allow trial say adherence rule law game cat mouse government swap one human right opt another
entertainment,halloween writer debra hill dy screenwriter producer debra hill best know work 70 horror classic halloween die los angeles age 54 hill suffer cancer co write 1978 film star jamie lee curtis babysitter terrorise psychopath direct john carpenter make 60m 31 3m worldwide record independent film time hill also work carpenter escape new york fog born new jersey hill begin career production assistant work way rank become assistant director second unit director begin collaborate carpenter regard many pioneer woman film take job 70 commonly take men back start 1974 woman industry say 2003 assume make hair person script person never assume writer producer take look around realise many woman carve niche carpenter say work hill one great experience life ground trailblazed begin follow anyone incredibly capable talented say carpenter hill collaborate number halloween sequel include halloween ii halloween resurrection halloween curse michael myers later career hill form production company friend lynda obst make string hit film include oscar nominee fisher king teen comedy adventure babysitting film include stephen king adaptation dead zone 1983 1985 clue comedy base board game cluedo 90 pursue work tv although reunite carpenter 1996 escape la sequel escape new york time death work film last two men pull rubble twin tower follow 11 september terror attack 2001 also co produce remake fog due release early next year
politics,royal couple watch nation mood prince charles camilla parker bowles await nation reaction announce married 8 april mr parker bowles take title hrh duchess cornwall civil ceremony held windsor castle daily telegraph poll 1 313 people suggests two third briton support couple decision marry 40 think mr parker bowles become princess consort plan charles becomes king 47 believe title 7 think become queen poll also found majority briton would prefer monarchy miss generation queen hand throne grandson prince william 22 death abdication thursday night prince charles 56 mr parker bowles 57 host dinner windsor castle first public appearance since announce engagement mr parker bowles say prince go one knee propose add come earth displayed diamond engagement ring royal family heirloom reporter charles say wife absolutely delighted marriage end year speculation relationship date back 1970 queen duke edinburgh say news make happy prince william harry say happy wish couple luck future wedding civil ceremony follow service prayer dedication st george chapel archbishop canterbury dr rowan williams preside marriage likely sensitive issue mr parker bowles divorce former husband still alive become king charles would supreme governor church england anglican remain oppose remarriage divorcee divorce diana disappointment country felt diana treat open sense disillusionment prince charles say ro coward write authorise biography diana princess wale archbishop canterbury say pleased prince charles mr camilla parker bowles decide take important step tony blair say delighted couple offer congratulation conservative leader michael howard liberal democrat leader charles kennedy australia prime minister john howard also offer congratulation add decision marry sensible good thing mr parker bowles join prince numerous engagement recent year mostly even event prince trust clarence house staff pain point attend event private capacity
tech,firefox browser take microsoft microsoft internet explorer serious rival long await firefox 1 0 web browser release people get excite new software release especially program game music movie player release first full version firefox manage drum respectable amount pre launch fervour fan software band together raise cash pay advert new york time announce version 1 0 browser available release firefox 1 0 9 november might even cause head turn microsoft program steadily win people away software giant internet explorer browser firefox create mozilla foundation start former browser maker netscape back 1998 much development work do since go firefox make first appearance name february earlier incarnation core technology call phoenix firebird since software gain praise convert least large number security problem come light microsoft internet explorer rival ie get boost late june two u computer security organisation warn people avoid microsoft program avoid fall victim serious vulnerability internet monitoring firm websidestory chart grow population people use firefox browser say responsible slowly erode stranglehold ie july year accord websidestory internet explorer use 95 web surfer figure remain static year july ie use population drop 94 7 end october stood 92 9 mozilla foundation claim firefox download almost eight million time publicly say would happy garner 10 window use net browsing population firefox prove popular moment far few security hole internet explorer innovation lack microsoft program instance firefox allows page different website arrange tab user switch easily block pop ups neat way find text page let search page browse one powerful feature firefox many hundred extra extension produce mozilla foundation open source organisation mean creator browser happy others play around core code program result many different add ons extension browser include everything version familiar google toolbar homeland security monitor keep user aware current threat level firefox use call firebird phoenix also grow number vocal net base fan campaign co ordinate spread firefox website attempt raise 50 000 need full page advert new york time campaign set target recruiting 2500 volunteer ten day campaign 10 000 people sign 250 000 raise ad due run sometime three week period late november early december surplus cash use help keep mozilla foundation run microsoft face grow challenge ie hold web use population alternative browser opera safari amaya even netscape
entertainment,celebrity get skate former england footballer paul gascoigne join eastenders actress scarlett johnson bbc one strictly ice dance one christmas special also star television presenter carol smillie jessica taylor liberty x celebrity pair professional skater impress panel judge win audience vote bbc yet confirm final two star battle become ice king queen veteran presenter bruce forsyth te daly host programme follow hot heel current saturday night series strictly come dance celebrity practise stipulate ice dance perform ice rink partner judge 50 vote decide win contest ice rink audience make rest vote show form part bbc festive schedule ice skate duo jayne torvill christopher dean front similar celebrity ice dance show itv title star thin ice contestant star thin ice pair professional skater learn new routine every week end series one celebrity crown winner
